feature,importance_shap
T0_S26_lag_6,0.017905988
T0_S52_lag_11,0.017847443
T2_S65_lag_23,0.017844278
T0_S36_lag_11,0.017620157
T0_S82_lag_5,0.017603522
T2_S55_lag_6,0.017539337
T2_S16_rolling_mean_24,0.017481713
T0_S0_lag_16,0.017405616
T0_S20_lag_11,0.017399559
T2_S10_lag_22,0.017341023
T0_S53_lag_11,0.017253367
T0_S69_lag_13,0.017242542
T0_S10_lag_8,0.017225774
T0_S52_lag_8,0.017090954
T0_S62_lag_11,0.017071923
T0_S40_rolling_std_6,0.0170496
T0_S29_lag_6,0.017032217
T2_S6_lag_1,0.017002026
T0_S59_lag_12,0.016991638
T0_S6_lag_10,0.016677054
T0_S49_lag_10,0.016673235
T0_S39_lag_4,0.016592385
T4_S138_lag_19,0.016495975
T0_S13_lag_14,0.016473314
T0_S35_rolling_mean_24,0.016450658
T0_S49_lag_9,0.016446909
T4_S19_lag_24,0.016445825
T0_S14_lag_13,0.016432593
T2_S40_lag_1,0.01639117
T2_S1_lag_3,0.016334642
T0_S41_lag_15,0.016284678
T0_S63_lag_8,0.016277647
T0_S46_rolling_mean_24,0.016062152
T2_S4_lag_2,0.015941175
T2_S25_lag_2,0.01592896
T0_S10_lag_4,0.015923241
T0_S31_lag_5,0.015814096
T0_S26_lag_9,0.015763467
T0_S3_lag_6,0.015648693
T0_S33_lag_9,0.015641341
T0_S43_lag_6,0.015433494
T0_S43_lag_12,0.015408883
T0_S64_lag_13,0.015340424
T4_S1_lag_15,0.015337234
T0_S14_lag_16,0.015327678
T0_S69_rolling_std_6,0.015316821
T0_S38_lag_8,0.015221617
T0_S13_lag_10,0.015179734
T0_S43_lag_15,0.015067442
T0_S10_lag_5,0.01499268
T0_S12_lag_19,0.0149893975
T0_S15_lag_7,0.014983459
T2_S8_lag_20,0.01491646
T2_S49_lag_22,0.014911115
T0_S77_rolling_std_6,0.0148804225
T4_S2_lag_20,0.014877894
T4_S108_lag_21,0.014869277
T0_S1_lag_13,0.014868387
T4_S79_lag_22,0.014751554
T2_S39_lag_6,0.0144650685
T0_S60_lag_5,0.014389119
T0_S49_lag_7,0.014337983
T2_S18_rolling_mean_24,0.0142517965
T2_S4_lag_19,0.014238594
T2_S29_lag_4,0.014236709
T2_S37_lag_22,0.014210278
T0_S41_lag_8,0.014163699
T1_S74_lag_6,0.014134208
T0_S58_lag_16,0.014116289
T0_S17_lag_7,0.014085672
