feature,importance_gain
f31862,11.052772521972656
f61305,10.989686965942383
f1951,10.943328857421875
f19177,10.849556922912598
f38173,10.82487678527832
f54612,10.800971031188965
f69059,10.744773864746094
f50302,10.710848808288574
f79714,10.566385269165039
f75434,10.565362930297852
f79682,10.562334060668945
f20850,10.556177139282227
f459,10.543647766113281
f20513,10.468460083007812
f42570,10.465933799743652
f20998,10.457467079162598
f292,10.4571533203125
f1297,10.429594993591309
f7330,10.427071571350098
f918,10.382156372070312
f68746,10.332733154296875
f141,10.33108139038086
f21719,10.239818572998047
f52770,10.094771385192871
f88296,10.07772445678711
f11743,9.968973159790039
f2985,9.965365409851074
f52114,9.929691314697266
f32872,9.85479736328125
f1305,9.820128440856934
f32988,9.7677001953125
f76666,9.753154754638672
f24697,9.702479362487793
f45567,9.685345649719238
f54475,9.63158893585205
f84676,9.579055786132812
f294,9.561594009399414
f16961,9.52538776397705
f85949,9.503273010253906
f73239,9.436909675598145
f9004,9.434005737304688
f42562,9.410741806030273
f94,9.367497444152832
f50818,9.306819915771484
f40213,9.29328727722168
f80523,9.293066024780273
f119,9.229158401489258
f126,9.191959381103516
f3469,9.165271759033203
f148,9.049297332763672
f69058,8.945122718811035
f1632,8.79631233215332
f2006,8.751283645629883
f122,8.7493896484375
f20376,8.722616195678711
f86587,8.710994720458984
f5311,8.701744079589844
f87441,8.584663391113281
f988,8.551885604858398
f53485,8.536710739135742
f35904,8.532541275024414
f455,8.442838668823242
f69,8.2987060546875
f60489,8.273568153381348
f1973,8.185654640197754
f111,8.169262886047363
f39179,8.038134574890137
f6175,8.014270782470703
f10920,7.845834732055664
f107,7.786667823791504
f963,7.673210620880127
f1,7.603316783905029
f263,7.50927734375
f17804,7.466320037841797
f3487,7.285577774047852
f51683,7.274925231933594
f2161,7.2290191650390625
f55276,7.124634742736816
f83062,7.023883819580078
f29509,6.9619598388671875
f2114,6.943878173828125
f32519,6.881610870361328
f14780,6.843711853027344
f798,6.8084716796875
f652,6.766643524169922
f1818,6.643815994262695
f5667,6.470542907714844
f49429,6.376034736633301
f124,6.3622941970825195
f1160,6.185446739196777
f144,6.175361633300781
f32658,6.000959396362305
f262,5.961065292358398
f37238,5.822253227233887
f65370,5.6592254638671875
f53244,5.413654327392578
f72111,5.412476539611816
f15305,5.3159942626953125
f301,5.263683319091797
f23202,5.238378524780273
f8212,5.223255157470703
f7992,5.118373870849609
f68554,5.087085723876953
f143,4.727832794189453
f43750,4.726654052734375
f2468,4.630741119384766
f6196,4.613183975219727
f18986,4.5886945724487305
f83360,4.5842084884643555
f15120,4.330085754394531
f10011,4.298774719238281
f628,4.276827812194824
f86904,4.193305969238281
f8855,4.1727294921875
f31198,4.065126419067383
f11880,3.995530128479004
f71,3.9953293800354004
f17299,3.9007022380828857
f626,3.8526229858398438
f54084,3.787327766418457
f42068,3.7625732421875
f499,3.690305709838867
f92,3.6793651580810547
f96,3.656949996948242
f128,3.5925328731536865
f290,3.5291454792022705
f1811,3.496631622314453
f259,3.4114205837249756
f78839,3.3823776245117188
f1106,2.9378232955932617
f38528,2.9249091148376465
f2,2.8606879711151123
f25,2.6869606971740723
f28321,2.6172657012939453
f470,2.578700065612793
f32056,2.5644969940185547
f2495,2.5510787963867188
f2476,2.4917259216308594
f2984,2.4543685913085938
f469,2.4299745559692383
f2623,2.2985305786132812
f580,2.29193115234375
