,RMSE,MAE,MAPE,R2,Median_AE,RMSE_norm
T2_S65_SARIMA,430.442641374034,234.16735475975156,500.0,-0.8017394448615014,0.0047451517876689955,2.7841827199528018
T2_S65_XGBoost,29.88776045839261,11.107439163297473,42.85076187955642,0.991313433301481,0.028530443087220192,0.19331956968928002
T2_S65_LSTM,268.19858709966786,107.81072910436603,500.0,0.3005214803495798,6.03515625,1.7347581302238901
T2_S44_SARIMA,187.1879122727752,102.29928801104231,500.0,-0.8165628190851788,0.0043386184825898065,2.7556718789147303
T2_S44_XGBoost,15.402232798004587,5.793649276179868,78.89903631566416,0.9877012156568555,0.02185622602701187,0.2267427382389392
T2_S44_LSTM,121.21244752446182,50.13423295454545,500.0,0.23829069497393085,4.6328125,1.7844193514527877
T2_S59_SARIMA,221.68717669725262,119.86457080444858,500.0,-0.7889868963213429,0.024953328022671653,2.7814035256133787
T2_S59_XGBoost,29.15671288434253,10.313557415023464,89.44431353259735,0.9690540987691695,0.0038066324777901173,0.3658154035790577
T2_S59_LSTM,144.29831183629568,60.91535212320574,500.0,0.24203611148415916,5.71484375,1.8104422604002854
T5_S31_SARIMA,221.35025933960256,113.13093757532609,500.0,-1.4602232025409259,0.022213201493436904,4.103441919628453
T5_S31_XGBoost,25.363077138639856,7.698809730344671,36.36985122803288,0.9676988246888993,0.008276102133095264,0.4701865462095
T5_S31_LSTM,168.39856855226748,70.25643351431668,500.0,-0.42393849442143794,4.89453125,3.121811320503695
T1_S56_SARIMA,190.27524997182618,94.97949500150852,500.0,-1.3910039268740477,3.6141340467486364e-06,4.15131554298501
T1_S56_XGBoost,21.728807049544937,7.690432190449472,121.52590765789716,0.9688191856187468,0.020832456648349762,0.4740665664538842
T1_S56_LSTM,134.09444195206575,51.08978037856983,500.0,-0.18750990723412464,3.576171875,2.9255951112188106
T0_S39_SARIMA,206.97976141938457,120.32157828989659,500.0,-1.2147872459861322,22.08826229678376,3.4782318997007864
T0_S39_XGBoost,24.169733967964607,8.403486628241337,51.33440358910837,0.9697990926942932,0.005390172824263573,0.4061650236629504
T0_S39_LSTM,126.01137672541668,50.22964229309958,500.0,0.17908959042699812,3.3935546875,2.1175828363405826
T1_S69_SARIMA,177.40764867282144,84.4501310977568,500.0,-1.1594270637939403,2.789912060565703e-05,4.22399163505712
T1_S69_XGBoost,18.70639153140133,5.908305707666967,130.15540539285453,0.9759910094675485,0.037728201597929,0.4453902745561141
T1_S69_LSTM,119.93612539497349,45.25784871224581,500.0,0.013052867735491525,0.0,2.8556220332068554
T3_S40_SARIMA,208.1709850754888,113.81344827900212,500.0,-1.4202067331345507,19.50962193192172,4.304500210802591
T3_S40_XGBoost,21.157790879798604,6.895000286654315,108.23261226827181,0.9749992687939011,0.0574677400290966,0.437494760709252
T3_S40_LSTM,161.72222766545002,69.3773257606908,500.0,-0.46066795010131045,2.4794921875,3.344046063023414
T1_S9_SARIMA,151.62194292956747,74.3912649680714,500.0,-1.0765683808010085,1.1848437762895583e-07,3.954203403069248
T1_S9_XGBoost,17.614233172253385,5.738656660317973,78.45377214614089,0.9719747429894302,0.021667251363396645,0.45936794771541756
T1_S9_LSTM,108.41854496809671,40.87360174005682,500.0,-0.06176711654059952,0.0,2.8274863861084496
T2_S22_SARIMA,248.29082457401273,136.41693469267392,500.0,-0.7603431817690367,0.0019515318725426777,2.7003581378941677
T2_S22_XGBoost,25.479374704160346,9.835468850686754,57.49605555877007,0.981462398914607,0.03859346732497215,0.27710825379423015
T2_S22_LSTM,151.44595386440847,63.363036817340756,500.0,0.34507532878780733,5.615234375,1.6470939458618383
T3_S48_SARIMA,233.3235972792515,126.44942614145003,500.0,-1.4131125545650267,21.943329903818274,4.313163968801823
T3_S48_XGBoost,26.477235251995655,8.985259424284564,87.19560453518564,0.9689254019056589,0.054488759487867355,0.4894518103358272
T3_S48_LSTM,176.7881165370336,76.5027124505294,500.0,-0.3853719493711154,3.1201171875,3.2680626531197343
T1_S51_SARIMA,177.56486332975192,89.04183804814053,500.0,-1.3155209556410377,8.954704098499555e-07,4.061846050000904
T1_S51_XGBoost,15.496482257676888,5.720513034785728,133.24203137525868,0.9823639671282881,0.022927217185497284,0.3544863779179183
T1_S51_LSTM,125.13404800843863,49.06316583806818,500.0,-0.14996769636493745,5.265625,2.862476444339063
T1_S15_SARIMA,153.6003724666518,76.05488193790966,500.0,-1.3766830295249899,0.0007678198197268783,4.175660489781862
T1_S15_XGBoost,14.70840656623665,4.9866015752744035,84.81902015708576,0.9782069517914418,0.006395048461854458,0.3998513231445243
T1_S15_LSTM,107.52562507400698,40.33704584295099,500.0,-0.16469089212749055,1.302734375,2.923108173830172
T5_S21_SARIMA,157.98416074219608,80.80966126807438,500.0,-1.395366575068624,0.22609340161898822,4.03232455212001
T5_S21_XGBoost,14.863211312956798,4.738726061993862,54.21461100130244,0.9787983239303144,0.01902155950665474,0.37936266280760117
T5_S21_LSTM,116.04534234831219,47.82868921015251,500.0,-0.2924100260729581,3.5380859375,2.9618949197942657
T2_S63_SARIMA,235.49347313817705,125.91482448989916,500.0,-0.8843567260588452,0.0003820783151249331,2.9214777637453517
