hierarchical_cluster_id,temporal_id,spatial_id,size,pct,center_lat,center_lon,spread_km,peak_hour,avg_distance_km,avg_duration_min,avg_fare,lat_min,lat_max,lon_min,lon_max
T4_S76,4.0,76.0,578.0,0.038533333333333336,40.71456279556644,-73.99772028939535,0.08776434833664659,1.0,2.853044986067449,12.912860438292965,12.056228373702423,40.70918273925781,40.716880798339844,-74.001220703125,-73.99537658691406
T4_S77,4.0,77.0,521.0,0.03473333333333333,40.75668934622561,-73.99945627750682,0.11332049754456541,20.0,2.4568138147584535,10.553326935380678,10.683877157844647,40.75336837768555,40.760807037353516,-74.005126953125,-73.99651336669922
T4_S78,4.0,78.0,625.0,0.041666666666666664,40.791335363769534,-73.94353266601563,0.12372765775035637,0.0,2.440687997472286,8.565760000000001,9.7016,40.78476333618164,40.79696273803711,-73.94844055175781,-73.93795013427734
T4_S79,4.0,79.0,246.0,0.0164,40.71405362695213,-74.0046756403233,0.06610743833106644,23.0,2.869471547807135,11.596476964769648,11.560975609756097,40.711090087890625,40.716773986816406,-74.00704956054688,-74.00172424316406
T4_S80,4.0,80.0,1564.0,0.10426666666666666,40.73376828020491,-74.00668033980348,0.11189473858826392,0.0,2.4684846516117416,11.923049872122762,10.861061380952215,40.729251861572266,40.73651885986328,-74.01058197021484,-74.00464630126953
T4_S81,4.0,81.0,548.0,0.036533333333333334,40.7996559560734,-73.93767874780363,0.16088693592280456,2.0,2.549708031960865,8.650517031630171,10.005474452554745,40.78892135620117,40.8070182800293,-73.94349670410156,-73.92013549804688
T4_S82,4.0,82.0,2646.0,0.1764,40.73657661807059,-73.99916839022936,0.05142004235482278,0.0,2.3375585770948266,11.46645880574452,10.526077097505668,40.733829498291016,40.73992156982422,-74.00198364257812,-73.99600982666016
T4_S83,4.0,83.0,2142.0,0.1428,40.77608880720664,-73.95377660443246,0.07543737370636583,0.0,2.407871151946478,9.192258014316838,9.804154995331466,40.77278137207031,40.77851867675781,-73.95708465576172,-73.95055389404297
T4_S84,4.0,84.0,1172.0,0.07813333333333333,40.68038914390798,-73.97377663830441,0.5822345552173804,0.0,2.795802046910386,11.605076791808873,11.421928327645052,40.646793365478516,40.69623947143555,-73.98435974121094,-73.95759582519531
T4_S85,4.0,85.0,344.0,0.022933333333333333,40.808054181032404,-73.96261814028718,0.1695231872007401,23.0,2.5511627864785664,10.183091085271316,10.549418604651162,40.804168701171875,40.82878112792969,-73.97666931152344,-73.95817565917969
T4_S86,4.0,86.0,584.0,0.038933333333333334,40.79593308984417,-73.96375362187216,0.12956818117929297,23.0,2.5669006851744163,9.588898401826484,10.286815068493151,40.79049301147461,40.801143646240234,-73.96710968017578,-73.95926666259766
T4_S87,4.0,87.0,2363.0,0.15753333333333333,40.76091655774788,-73.98921228151326,0.05858785176002874,0.0,2.6126153193953376,11.019643109042178,10.87410071942446,40.758766174316406,40.764259338378906,-73.99195861816406,-73.98723602294922
T4_S88,4.0,88.0,2535.0,0.169,40.7420167580629,-74.00447873448479,0.05368398164924328,2.0,2.4966785004740872,12.02222879684418,10.969428007889546,40.740257263183594,40.74445724487305,-74.0064468383789,-74.00251770019531
T4_S89,4.0,89.0,2807.0,0.18713333333333335,40.75254113197666,-73.97834337789646,0.10307501601151964,23.0,2.2264909152834704,10.077193919962,9.781439258995368,40.74968338012695,40.75639343261719,-73.98274230957031,-73.97473907470703
T4_S90,4.0,90.0,1059.0,0.0706,40.76718028701624,-73.99279808930567,0.10608760440402899,0.0,2.676279511573576,11.235316336166195,11.028328611898017,40.76368713378906,40.774818420410156,-73.99659729003906,-73.9895248413086
T4_S91,4.0,91.0,2889.0,0.1926,40.75659210981486,-73.98953665115711,0.0835808119357809,23.0,2.5159016959665763,11.339598476981655,10.8715645554735,40.75252914428711,40.758819580078125,-73.99201202392578,-73.98737335205078
T4_S92,4.0,92.0,1612.0,0.10746666666666667,40.72896542324322,-73.98942452328968,0.061451267827390556,1.0,2.488455334077439,12.098438792390404,11.10483870967742,40.726741790771484,40.73110580444336,-73.99107360839844,-73.98823547363281
T4_S93,4.0,93.0,1550.0,0.10333333333333333,40.72256039773264,-73.98622176139585,0.044390560363507116,2.0,2.821793549027174,12.399924731182795,11.852580645161291,40.72058868408203,40.724365234375,-73.9874496459961,-73.98477935791016
T4_S94,4.0,94.0,1471.0,0.09806666666666666,40.72352501812798,-73.99210675600676,0.04096103413680272,2.0,2.547865399631167,11.995977792884657,11.226172671522274,40.72103500366211,40.72501754760742,-73.99393463134766,-73.99016571044922
T4_S95,4.0,95.0,978.0,0.0652,40.78058170638445,-73.95369607344239,0.07253837704992863,20.0,2.241124744140419,8.499761417859578,9.259713701431492,40.778480529785156,40.78384017944336,-73.95623779296875,-73.95093536376953
T4_S96,4.0,96.0,2351.0,0.15673333333333334,40.76991383931019,-73.95555949728319,0.09397482764966793,20.0,2.4564908546704984,9.348497093435418,9.982135261590813,40.76470947265625,40.77328109741211,-73.95890045166016,-73.95150756835938
T4_S97,4.0,97.0,301.0,0.020066666666666667,40.7992474248639,-73.94890343548848,0.14929822512796337,2.0,2.5915614615049076,9.533665559246954,10.32392026578073,40.79243850708008,40.805641174316406,-73.95344543457031,-73.94352722167969
T4_S98,4.0,98.0,1577.0,0.10513333333333333,40.761608912359705,-73.96751948558007,0.05581983180340727,20.0,2.346112872042192,9.342401183682096,9.77584020291693,40.759342193603516,40.76378631591797,-73.97042846679688,-73.96502685546875
T4_S99,4.0,99.0,925.0,0.06166666666666667,40.73038213781408,-73.99185665646115,0.054157101973686894,23.0,2.463254049380083,11.846954954954956,10.872432432432433,40.72840118408203,40.733001708984375,-73.99443817138672,-73.98980712890625
T4_S100,4.0,100.0,2484.0,0.1656,40.75673976075054,-73.96763168556103,0.08471481957244746,0.0,2.4233896946009614,9.946027911969942,10.090579710144928,40.75364685058594,40.75957107543945,-73.97038269042969,-73.96418762207031
T4_S101,4.0,101.0,613.0,0.04086666666666667,40.81575096217493,-73.95557730894105,0.1895752298961257,0.0,2.629869493414294,9.942359978249048,10.633768352365417,40.80916213989258,40.82521438598633,-73.96202850341797,-73.94747161865234
T4_S102,4.0,102.0,1427.0,0.09513333333333333,40.7317615821801,-73.9851659121176,0.05896564147360178,0.0,2.3566853518075015,11.32523943003971,10.537491240364401,40.729820251464844,40.73456954956055,-73.9867172241211,-73.98338317871094
T4_S103,4.0,103.0,1553.0,0.10353333333333334,40.73243640916853,-73.98193374113045,0.09498650320713235,0.0,2.3715260802874316,10.177817128139086,10.112685125563425,40.72990036010742,40.73591995239258,-73.98408508300781,-73.97875213623047
T4_S104,4.0,104.0,876.0,0.0584,40.784409253020264,-73.94915872512887,0.10569012584995321,20.0,2.7298630162240025,9.545928462709284,10.586187214611872,40.78165054321289,40.790260314941406,-73.95246124267578,-73.94363403320312
T4_S105,4.0,105.0,1056.0,0.0704,40.784776358893424,-73.97224697922215,0.1303338793619988,20.0,2.337736740764795,9.417929292929294,9.773674242424242,40.7784309387207,40.78876876831055,-73.97525787353516,-73.9663314819336
T4_S106,4.0,106.0,677.0,0.04513333333333333,40.71829661449618,-73.99925239822184,0.05195780850213959,0.0,2.686307235539752,12.960758247168881,11.708271787296898,40.71614456176758,40.720699310302734,-74.00096893310547,-73.9969482421875
T4_S107,4.0,107.0,1924.0,0.12826666666666667,40.743213540551075,-73.97617218747209,0.10039357064619911,0.0,2.238071726282706,9.68094248094248,9.708679833679835,40.73691177368164,40.74651336669922,-73.97982025146484,-73.96922302246094
T4_S108,4.0,108.0,898.0,0.059866666666666665,40.71565733826771,-74.00858961925209,0.057187365996085385,0.0,2.8582293960724217,12.05276540460282,11.716035634743875,40.71382522583008,40.71806335449219,-74.01213073730469,-74.00601196289062
T4_S109,4.0,109.0,1067.0,0.07113333333333334,40.77958499368598,-73.95735194913226,0.09788959577561299,20.0,2.15967197624064,8.739643861293345,9.231958762886597,40.7757682800293,40.78411102294922,-73.96237182617188,-73.95513153076172
T4_S110,4.0,110.0,1223.0,0.08153333333333333,40.75430735777561,-73.99402869810166,0.06413340927651295,0.0,2.37484055367022,10.692586535840828,10.354865085854456,40.751102447509766,40.75706481933594,-73.99786376953125,-73.9911117553711
T4_S111,4.0,111.0,627.0,0.0418,40.719957208709474,-74.00946448902575,0.08379171119823196,23.0,2.79950558190996,12.167251461988304,11.599681020733652,40.717227935791016,40.7248649597168,-74.01226806640625,-74.0077896118164
T4_S112,4.0,112.0,1909.0,0.12726666666666667,40.73991905000586,-74.0019419866435,0.07257023578777702,2.0,2.485762178550502,11.69664745940283,10.876898899947616,40.73704528808594,40.742618560791016,-74.0038070678711,-73.99878692626953
T4_S113,4.0,113.0,1182.0,0.0788,40.73613554410725,-73.99281323298989,0.0743458609939851,20.0,2.2219373933630546,11.454639029892839,10.297377326565144,40.73318099975586,40.738861083984375,-73.99594116210938,-73.99070739746094
T4_S114,4.0,114.0,1348.0,0.08986666666666666,40.72130778847533,-73.99396290764965,0.04911058608015386,1.0,2.65293026777421,12.711164688427301,11.581231454005934,40.72003173828125,40.723697662353516,-73.99571228027344,-73.99156951904297
T4_S115,4.0,115.0,1112.0,0.07413333333333333,40.7610179709016,-73.99449636610292,0.08558226692448889,0.0,2.4472122283572024,9.833093525179855,10.105665467625899,40.75819778442383,40.7641716003418,-73.99710845947266,-73.99199676513672
T4_S116,4.0,116.0,3332.0,0.22213333333333332,40.76117963207011,-73.98532678528565,0.056005065978339014,0.0,2.448097236611012,10.962880152060825,10.53031212484994,40.75883865356445,40.764259338378906,-73.98736572265625,-73.98235321044922
T4_S117,4.0,117.0,2306.0,0.15373333333333333,40.77722394435383,-73.980954076762,0.12390928576791149,20.0,2.325056373281445,9.799443480774793,9.896140503035559,40.772377014160156,40.78155517578125,-73.9884033203125,-73.97460174560547
T4_S118,4.0,118.0,2248.0,0.14986666666666668,40.77289836517008,-73.98343209779135,0.1406265011577244,23.0,2.3613523121167543,10.305130486358244,10.09995551635362,40.769752502441406,40.77860641479492,-73.9908447265625,-73.97834777832031
T4_S119,4.0,119.0,1511.0,0.10073333333333333,40.787974132282855,-73.97635011401577,0.09838763039487776,23.0,2.4087557892169014,9.728281491286124,10.08438120450033,40.7847900390625,40.792633056640625,-73.98169708251953,-73.97310638427734
T4_S120,4.0,120.0,2624.0,0.17493333333333333,40.73360470300767,-74.00281737199644,0.0642686074664442,1.0,2.5988490841885254,12.355436991869919,11.259336890243903,40.73133850097656,40.7364616394043,-74.00474548339844,-74.0006103515625
T4_S121,4.0,121.0,1887.0,0.1258,40.747121646155364,-73.99455382120186,0.07610626628825175,0.0,2.4509114964446126,11.079659070835541,10.543455219925809,40.74406814575195,40.751033782958984,-73.99800872802734,-73.99156188964844
T4_S122,4.0,122.0,1402.0,0.09346666666666667,40.729117517294455,-73.98736940130868,0.04339436370941105,1.0,2.4338873000217656,12.129410366143604,10.99358059914408,40.727088928222656,40.73081970214844,-73.98836517333984,-73.9857177734375
T4_S123,4.0,123.0,788.0,0.052533333333333335,40.70602864299329,-74.00826959561576,0.06467123610716138,23.0,3.5856852829078125,13.1001269035533,13.505710659898478,40.70267868041992,40.709327697753906,-74.010986328125,-74.00555419921875
T4_S124,4.0,124.0,1220.0,0.08133333333333333,40.71910795618276,-73.99381937120782,0.0572169771207207,2.0,2.6504426237928573,12.32349726775956,11.50122950819672,40.716346740722656,40.720298767089844,-73.99639129638672,-73.99175262451172
T4_S125,4.0,125.0,2540.0,0.16933333333333334,40.7189343279741,-73.98968841672882,0.05253772284418487,2.0,2.836956689700367,12.262132545931758,11.778267716610525,40.71675491333008,40.72101974487305,-73.99176025390625,-73.98799896240234
T4_S126,4.0,126.0,2398.0,0.15986666666666666,40.74683154394867,-73.97895284212063,0.07919542086869295,0.0,2.1456421999054167,9.647261606894634,9.573769808014399,40.74396514892578,40.750267028808594,-73.98246002197266,-73.97594451904297
T4_S127,4.0,127.0,2472.0,0.1648,40.726376172408315,-73.99163192144104,0.054386076275830954,2.0,2.4469012956445417,11.994066882416398,10.992111650485437,40.72465896606445,40.728336334228516,-73.99317169189453,-73.98961639404297
T4_S128,4.0,128.0,1470.0,0.098,40.764141329291725,-73.95837217058454,0.108539193960525,20.0,2.450612244374898,9.475850340136054,10.024149659863946,40.75638198852539,40.767974853515625,-73.96222686767578,-73.9495849609375
T4_S129,4.0,129.0,431.0,0.028733333333333333,40.703501185795545,-74.01230320410497,0.06256857970617605,23.0,4.033735501897584,13.708081979891725,14.612529002320185,40.70082092285156,40.70641326904297,-74.0168228149414,-74.00935363769531
T4_S130,4.0,130.0,697.0,0.04646666666666667,40.76978633119865,-73.96361143311948,0.092428587522226,23.0,2.026355807951396,8.479268292682928,8.86728837876614,40.76668167114258,40.773311614990234,-73.96849060058594,-73.96076965332031
T4_S131,4.0,131.0,1486.0,0.09906666666666666,40.79325677247901,-73.97107406965335,0.1164535086273791,20.0,2.435390310309336,9.396724988784207,10.037685060565275,40.78812026977539,40.796512603759766,-73.9755859375,-73.9655990600586
T4_S132,4.0,132.0,1092.0,0.0728,40.72265903417007,-74.00390772417788,0.06643020727290205,0.0,2.557197798179947,12.3127442002442,11.227564102564102,40.72045135498047,40.725341796875,-74.00659942626953,-74.0007553100586
T4_S133,4.0,133.0,1535.0,0.10233333333333333,40.778980240216086,-73.94852973863433,0.09215952615456917,20.0,2.674429970649632,9.614375678610207,10.521172638436482,40.773597717285156,40.78230285644531,-73.95146179199219,-73.93599700927734
T4_S134,4.0,134.0,751.0,0.05006666666666667,40.802801043311064,-73.96606601760803,0.07505671721873214,0.0,2.6215446089579166,10.46369285397248,10.751664447403462,40.7994499206543,40.806148529052734,-73.96876525878906,-73.96118927001953
T4_S135,4.0,135.0,1124.0,0.07493333333333334,40.72920727305565,-74.00468509986307,0.07100727173495036,1.0,2.4882028484551295,12.155931198102017,11.188612099644129,40.72638702392578,40.73161697387695,-74.00936126708984,-74.00262451171875
T4_S136,4.0,136.0,1100.0,0.07333333333333333,40.7730246145075,-73.94987067482688,0.11178059005204484,20.0,2.7370999999683012,9.78119696969697,10.760909090909092,40.76375961303711,40.7762565612793,-73.95331573486328,-73.93496704101562
T4_S137,4.0,137.0,651.0,0.0434,40.75063165761359,-73.94039113034484,0.40121151610841094,2.0,2.8311827909058325,10.38620071684588,11.980798771121352,40.73599624633789,40.76383972167969,-73.95173645019531,-73.92771911621094
T4_S138,4.0,138.0,643.0,0.042866666666666664,40.74637068041005,-74.00135263351036,0.08845891260038696,20.0,2.408693618666885,11.537895282529808,10.64696734059098,40.743385314941406,40.749263763427734,-74.0036849975586,-73.99916076660156
T4_S139,4.0,139.0,2055.0,0.137,40.76831858836822,-73.98262771272312,0.0808295535334987,23.0,2.3761849138133426,10.442684509326845,10.180048661800486,40.76621627807617,40.77175521850586,-73.98561096191406,-73.97611999511719
T4_S140,4.0,140.0,652.0,0.04346666666666667,40.70806533134788,-74.01455250839514,0.08848766060056244,20.0,3.528865027601368,12.930725971370144,13.385736196319018,40.70475387573242,40.711299896240234,-74.01799774169922,-74.01085662841797
T4_S141,4.0,141.0,2970.0,0.198,40.743944810295744,-73.98369107744108,0.08958421106369754,0.0,2.2227710452720975,10.393389450056116,9.933249158249158,40.740997314453125,40.74781799316406,-73.98675537109375,-73.98057556152344
T5_S0,5.0,0.0,3936.0,0.2624,40.75119530573124,-73.97205708666546,0.09765427226891653,9.0,1.8339329259962267,12.555017784552847,10.284857723286482,40.746726989746094,40.754722595214844,-73.97508239746094,-73.96681213378906
